index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,RFstar_9120
0,2022-11-19-14:27:44:349,-94,-96,-86,100,-81,-84,100,100,-75,100,100,-83,-81,-89,100,-85,-81,-90,100,100,-80,100,100,-73,-78,100
1,2022-11-19-14:27:47:633,100,-72,-73,100,-73,100,-87,-88,-64,100,100,100,100,-87,100,100,-66,-81,100,100,100,100,100,-83,-88,100
2,2022-11-19-14:27:50:885,100,-82,-73,100,-93,100,100,-92,-68,100,100,100,100,-89,100,100,-87,-71,100,100,100,100,100,100,100,100
3,2022-11-19-14:27:53:683,100,-81,-56,100,-91,100,100,-89,-83,100,100,100,100,-90,100,100,-84,-69,100,100,100,100,100,100,100,100
4,2022-11-19-14:27:56:597,100,-87,-80,100,100,100,-85,100,-80,100,100,100,100,-89,100,100,-84,-67,100,100,100,-94,100,100,100,100
5,2022-11-19-14:27:59:670,100,-90,-66,100,-80,100,-80,-82,-72,-82,100,100,100,-85,-91,100,-77,-64,-80,-85,100,100,100,100,100,-95
6,2022-11-19-14:28:02:786,100,-82,-66,-95,100,100,-87,100,-78,-84,100,100,100,-88,-94,100,-76,-70,100,-83,100,-89,-89,100,100,-92
7,2022-11-19-14:28:05:629,100,-78,-81,-91,-72,100,100,100,100,100,100,100,100,-70,100,100,100,-84,100,100,100,100,100,-82,100,100
8,2022-11-19-14:28:08:581,-77,-59,-89,-85,-79,100,100,-92,-80,-81,100,100,-87,-68,-86,-75,-72,-87,100,-82,100,-87,-89,-75,-83,-88
9,2022-11-19-14:28:11:392,-84,-80,-82,100,-79,-84,100,-87,-78,100,100,-80,-87,100,100,-88,-73,-79,100,100,100,-90,100,-76,-74,100
10,2022-11-19-14:28:14:329,-83,-77,-91,100,-80,-80,100,-91,-81,100,100,-89,-87,-90,100,-92,-82,100,100,100,100,100,100,-65,-69,100
